Week,Property Country,Platform Type Name,Net Orders,Net Gross Booking Value USD,Booking value per order,Net Order Percent Change by Platform,Net Gross Booking Value USD Percent Change by Platform,Booking value per order Percent Change by Platform
2016-W45,Bermuda,Desktop,34,31756.9778,900.027561904762,,,
2016-W45,Bermuda,Mobile App,1,738.2528,738.2528,,,
2016-W45,Bermuda,Mobile Web,1,662.7,662.7,,,
2016-W45,Bolivia,Desktop,35,11480.4806,346.0090241666667,,,
2016-W45,Bolivia,Mobile App,5,384.5978,64.86593333333333,,,
2016-W45,Bolivia,Mobile Web,4,593.3959,130.91598333333334,,,
2016-W45,"Bonaire, Sint Eustatius and Saba",Desktop,3,578.7103,194.827575,,,
2016-W45,Bosnia and Herzegovina,Desktop,6,1909.8739,356.7106416666667,,,
2016-W45,Botswana,Desktop,4,5814.7732,1453.6933,,,
2016-W45,Botswana,Mobile App,1,156.1898,156.1898,,,
2016-W45,Brazil,Desktop,4068,1234596.9701,540.3101313996174,,,
2016-W45,Brazil,Mobile App,495,135099.4892,615.8274268318416,,,
2016-W45,Brazil,Mobile Web,518,155365.4363,463.17022903260397,,,
2016-W45,British Virgin Islands,Desktop,12,10190.8,751.0588333333333,,,
2016-W45,British Virgin Islands,Mobile Web,2,4345.5567,2172.77835,,,
2016-W45,Brunei,Desktop,5,1822.4328,364.48656,,,
2016-W45,Brunei,Mobile Web,1,182.2849,182.2849,,,
2016-W45,Bulgaria,Desktop,35,14497.3946,336.02225999999996,,,
2016-W45,Bulgaria,Mobile App,10,1692.2472,182.75578571428574,,,
2016-W45,Bulgaria,Mobile Web,6,904.2604000000001,151.9487,,,
2016-W45,Burundi,Desktop,1,359.9982,359.9982,,,
2016-W45,Cambodia,Desktop,259,57700.339,239.56590040037773,,,
2016-W45,Cambodia,Mobile App,43,9427.6751,280.6303865217391,,,
2016-W45,Cambodia,Mobile Web,50,8915.1755,175.24889166666668,,,
2016-W45,Cameroon,Desktop,3,1187.1580000000001,395.7193333333334,,,
2016-W45,Canada,Desktop,3324,1111179.7183,438.09518585861485,,,
2016-W45,Canada,Mobile App,352,76410.2323,249.34384209407446,,,
2016-W45,Canada,Mobile Web,494,124676.728,321.7043941853401,,,
2016-W45,Cape Verde,Desktop,2,476.6813,238.34065,,,
2016-W45,Cape Verde,Mobile Web,1,1295.802,1295.802,,,
2016-W45,Cayman Islands,Desktop,32,30635.9705,1231.9315694444444,,,
2016-W45,Cayman Islands,Mobile Web,6,10522.7734,1539.3321,,,
2016-W45,Chile,Desktop,296,139025.67119999998,443.09395558227,,,
2016-W45,Chile,Mobile App,39,17797.0672,449.2702692982456,,,
2016-W45,Chile,Mobile Web,35,16873.892,557.0437694444445,,,
2016-W45,China,Desktop,1520,595073.4704,482.6026858016472,,,
2016-W45,China,Mobile App,290,62077.7039,248.24997627505897,,,
2016-W45,China,Mobile Web,181,53540.322700000004,375.70421240306445,,,
2016-W45,Colombia,Desktop,427,191384.9924,599.7359274815714,,,
2016-W45,Colombia,Mobile App,70,19554.47,395.8572355555555,,,
2016-W45,Colombia,Mobile Web,57,19597.971,569.6127882222222,,,
2016-W45,Cook Islands,Desktop,5,5737.4,1147.48,,,
2016-W45,Cook Islands,Mobile Web,1,156.82,156.82,,,
2016-W45,Costa Rica,Desktop,414,159061.2815,323.4601161826942,,,
2016-W45,Costa Rica,Mobile App,43,9657.3278,333.975397826087,,,
2016-W45,Costa Rica,Mobile Web,57,14989.3703,420.4314903703704,,,
2016-W45,Cote d'ivoire,Desktop,4,2087.717,521.92925,,,
2016-W45,Croatia,Desktop,99,40042.7233,292.40258238636363,,,
2016-W45,Croatia,Mobile App,26,4714.4394,254.5765290909091,,,
2016-W45,Croatia,Mobile Web,21,13828.0724,485.5018097619048,,,
2016-W45,Curacao,Desktop,34,31803.1854,1056.0435267857142,,,
2016-W45,Curacao,Mobile App,6,1699.58,276.69916666666666,,,
2016-W45,Cyprus,Desktop,46,23791.7392,617.3666002752976,,,
2016-W45,Cyprus,Mobile App,7,1708.8447,230.81007,,,
2016-W45,Cyprus,Mobile Web,10,3016.4027,345.4385642857143,,,
2016-W45,Czech Republic,Desktop,477,152231.364,331.9160184311832,,,
2016-W45,Czech Republic,Mobile App,62,13650.6331,228.9179231439394,,,
2016-W45,Czech Republic,Mobile Web,62,20964.3547,326.26701959770116,,,
2016-W45,Denmark,Desktop,804,350962.5677,483.1930686406783,,,
2016-W45,Denmark,Mobile App,64,26559.2473,501.7517334274421,,,
2016-W45,Denmark,Mobile Web,134,55673.3437,457.3699071981722,,,
2016-W45,Djibouti,Desktop,1,1369.699,1369.699,,,
2016-W45,Dominica,Desktop,5,39504.09,5286.0225,,,
2016-W45,Dominican Republic,Desktop,365,260217.7766,837.2695689245766,,,
2016-W45,Dominican Republic,Mobile App,38,24189.476300000002,1021.2946242424242,,,
2016-W45,Dominican Republic,Mobile Web,92,47684.653,1015.955232299843,,,
2016-W45,Ecuador,Desktop,99,33093.0208,403.53279320043987,,,
2016-W45,Ecuador,Mobile App,16,3681.4444,205.81493333333333,,,
2016-W45,Ecuador,Mobile Web,16,2903.0175,178.3162037037037,,,
2016-W45,Egypt,Desktop,90,42261.6748,529.0981113227513,,,
2016-W45,Egypt,Mobile App,16,6083.5915,443.6632674074074,,,
2016-W45,Egypt,Mobile Web,17,7390.3604,553.6029888888888,,,
2016-W45,El Salvador,Desktop,17,3878.5796,266.2298121212121,,,
2016-W45,El Salvador,Mobile App,6,874.27,177.6225,,,
2016-W45,El Salvador,Mobile Web,3,774.08,328.04,,,
2016-W45,Estonia,Desktop,52,21692.6671,315.7332876984127,,,
2016-W45,Estonia,Mobile App,4,565.9165,141.479125,,,
2016-W45,Estonia,Mobile Web,6,2712.2212,484.17210000000006,,,
2016-W45,Ethiopia,Desktop,15,9795.630799999999,538.0589777777777,,,
2016-W45,Ethiopia,Mobile App,3,1294.3256999999999,590.56785,,,
2016-W45,Ethiopia,Mobile Web,3,5715.3985999999995,2790.8804,,,
2016-W45,Faroe Islands,Mobile App,1,182.9104,182.9104,,,
2016-W45,Fiji,Desktop,61,38978.9835,685.445468489011,,,
2016-W45,Fiji,Mobile App,5,3540.9488,708.18976,,,
2016-W45,Fiji,Mobile Web,9,2905.9672,316.65531875,,,
2016-W45,Finland,Desktop,235,90101.617,375.6419135187423,,,
2016-W45,Finland,Mobile App,23,4898.2125,236.358448,,,
2016-W45,Finland,Mobile Web,18,8017.447099999999,488.76912500000003,,,
2016-W45,France,Desktop,2995,1501035.0282,513.909676164052,,,
2016-W45,France,Mobile App,312,119286.1177,463.22743877715334,,,
2016-W45,France,Mobile Web,455,252281.14549999998,599.3091010868776,,,
2016-W45,French Polynesia,Desktop,37,34862.9988,837.4205625,,,
2016-W45,French Polynesia,Mobile App,3,1600.7464,533.5821333333333,,,
2016-W45,French Polynesia,Mobile Web,8,23084.8722,1563.3962999999999,,,
2016-W45,Gabon,Desktop,2,1359.7736,679.8868,,,
2016-W45,Gambia,Desktop,5,5094.8313,1018.9662599999999,,,
2016-W45,Georgia,Desktop,6,3213.1684,544.7418799999999,,,
2016-W45,Germany,Desktop,2855,1189632.6734,441.7841925892905,,,
2016-W45,Germany,Mobile App,322,89547.317,342.19105109056164,,,
2016-W45,Germany,Mobile Web,346,118484.992,362.4042403012911,,,
2016-W45,Ghana,Desktop,21,15740.2798,769.0595205128205,,,
2016-W45,Ghana,Mobile App,3,2874.3244000000004,796.3861,,,
2016-W45,Ghana,Mobile Web,3,1543.8506,514.6168666666666,,,
2016-W45,Gibraltar,Desktop,6,2909.2124,484.8687333333333,,,
2016-W45,Greece,Desktop,374,165274.7733,373.978666480078,,,
2016-W45,Greece,Mobile App,42,12196.0955,379.79620044973547,,,
2016-W45,Greece,Mobile Web,41,26167.278599999998,464.5457760651629,,,
2016-W45,Grenada,Desktop,14,9786.5754,730.8912066666667,,,
2016-W45,Grenada,Mobile App,1,1106.8726,1106.8726,,,
2016-W45,Guadeloupe,Desktop,8,4260.0415,587.2679388888888,,,
2016-W45,Guadeloupe,Mobile App,1,238.5354,238.5354,,,
2016-W45,Guam,Desktop,140,72207.2546,518.0060979895721,,,
2016-W45,Guam,Mobile App,28,17507.8743,549.1337390277778,,,
2016-W45,Guam,Mobile Web,12,5239.1619,361.8086166666667,,,
2016-W45,Guatemala,Desktop,81,24459.3489,401.1994290013017,,,
2016-W45,Guatemala,Mobile App,10,1193.7867,143.2139,,,
2016-W45,Guatemala,Mobile Web,13,4512.57,311.1,,,
2016-W45,Guyana,Mobile Web,1,1299.2,1299.2,,,
2016-W45,Haiti,Desktop,14,5186.3266,388.31443703703707,,,
2016-W45,Haiti,Mobile Web,4,1948.76,487.19,,,
2016-W45,Honduras,Desktop,30,21962.3254,743.2138717687075,,,
2016-W45,Honduras,Mobile App,3,322.034,107.34466666666667,,,
2016-W45,Hong Kong,Desktop,1895,718601.0692,458.5117878774722,,,
2016-W45,Hong Kong,Mobile App,605,149098.4604,529.3496821421256,,,
2016-W45,Hong Kong,Mobile Web,403,129088.12190000001,472.9499182373173,,,
2016-W45,Hungary,Desktop,274,89744.1108,310.59773261078044,,,
2016-W45,Hungary,Mobile App,41,8249.3674,251.46638136363634,,,
2016-W45,Hungary,Mobile Web,48,16158.3662,371.9385852564103,,,
2016-W45,Iceland,Desktop,213,87582.6731,337.3822860377753,,,
2016-W45,Iceland,Mobile App,13,5226.5987000000005,513.1057444444444,,,
2016-W45,Iceland,Mobile Web,28,8682.9288,319.9435642857143,,,
2016-W45,India,Desktop,801,303594.899,357.80411827851566,,,
2016-W45,India,Mobile App,92,21895.0783,254.82759440476192,,,
2016-W45,India,Mobile Web,78,19908.43,201.54236993606136,,,
2016-W45,Indonesia,Desktop,680,272022.1534,424.07229636175146,,,
2016-W45,Indonesia,Mobile App,155,37495.0181,340.4673910701143,,,
2016-W45,Indonesia,Mobile Web,168,54658.6343,308.59245325259394,,,
2016-W45,Ireland,Desktop,1119,313706.0798,354.65952913838896,,,
2016-W45,Ireland,Mobile App,135,26064.5524,209.09249411067194,,,
2016-W45,Ireland,Mobile Web,219,55317.3002,240.48528416152712,,,
2016-W45,Israel,Desktop,199,169902.9318,746.4283931701057,,,
2016-W45,Israel,Mobile App,20,6993.2172,334.618508,,,
2016-W45,Israel,Mobile Web,18,6799.1444,537.8990145833334,,,
2016-W45,Italy,Desktop,2829,1241251.926,390.39054574094257,,,
2016-W45,Italy,Mobile App,401,107119.9988,358.9734515884623,,,
2016-W45,Italy,Mobile Web,442,157540.5283,320.21391894782624,,,
2016-W45,Jamaica,Desktop,137,123797.8198,1066.8575326587302,,,
2016-W45,Jamaica,Mobile App,7,4015.0968,718.30836,,,
2016-W45,Jamaica,Mobile Web,30,18968.4141,755.781635,,,
2016-W45,Japan,Desktop,3698,1297640.6252,352.4990058078091,,,
2016-W45,Japan,Mobile App,669,178489.1724,563.4943806776541,,,
2016-W45,Japan,Mobile Web,540,178380.1137,418.10536555260035,,,
2016-W45,Jordan,Desktop,30,15000.3303,530.6172032539682,,,
2016-W45,Jordan,Mobile App,4,940.0557,235.013925,,,
2016-W45,Jordan,Mobile Web,5,577.8426999999999,122.4878375,,,
2016-W45,Kazakhstan,Desktop,12,7319.3135999999995,823.3710428571428,,,
2016-W45,Kenya,Desktop,35,18676.312,798.8115055555555,,,
2016-W45,Kenya,Mobile App,2,3234.48,1617.24,,,
2016-W45,Kenya,Mobile Web,5,854.4873,173.835575,,,
2016-W45,Kuwait,Desktop,15,13552.736,829.2959023809525,,,
2016-W45,Kuwait,Mobile App,4,1536.4,509.48333333333335,,,
2016-W45,Kuwait,Mobile Web,4,1012.4909,253.122725,,,
2016-W45,Kyrgyzstan,Desktop,2,740.5440000000001,370.27200000000005,,,
2016-W45,Laos,Desktop,32,8568.7426,312.3790885964912,,,
2016-W45,Laos,Mobile App,8,1655.7567,220.78667142857142,,,
2016-W45,Laos,Mobile Web,4,320.20529999999997,80.05132499999999,,,
2016-W45,Latvia,Desktop,120,37928.7502,361.9565446005291,,,
2016-W45,Latvia,Mobile App,18,3906.3447,264.8282316666667,,,
2016-W45,Latvia,Mobile Web,36,8013.8892,248.3309092171717,,,
2016-W45,Lebanon,Desktop,23,18667.1537,667.4774500000001,,,
2016-W45,Lebanon,Mobile App,7,1991.04,390.901875,,,
2016-W45,Lebanon,Mobile Web,4,843.7832000000001,234.18106666666668,,,
2016-W45,Lesotho,Desktop,2,455.96349999999995,227.98174999999998,,,
2016-W45,Liechtenstein,Desktop,4,2036.0116,509.0029,,,
2016-W45,Lithuania,Desktop,47,15757.5464,328.9785530877976,,,
2016-W45,Lithuania,Mobile App,8,1463.2757000000001,190.49440714285714,,,
2016-W45,Lithuania,Mobile Web,7,4465.6158000000005,612.2311583333334,,,
2016-W45,Luxembourg,Desktop,55,26742.8929,350.2666543478261,,,
2016-W45,Luxembourg,Mobile App,5,1040.5886,231.65560000000002,,,
2016-W45,Luxembourg,Mobile Web,8,2034.8195,238.02554166666667,,,
2016-W45,Macau,Desktop,279,108872.8459,446.6889411057042,,,
2016-W45,Macau,Mobile App,113,34712.8252,299.27727506464646,,,
2016-W45,Macau,Mobile Web,60,15028.3342,258.22957824675325,,,
2016-W45,Macedonia,Desktop,3,724.8366,241.6122,,,
2016-W45,Macedonia,Mobile App,1,43.9312,43.9312,,,
2016-W45,Macedonia,Mobile Web,1,172.177,172.177,,,
2016-W45,Madagascar,Desktop,1,148.44,148.44,,,
2016-W45,Madagascar,Mobile App,1,48.42,48.42,,,
2016-W45,Malawi,Desktop,5,2154.4189,505.25991250000004,,,
2016-W45,Malawi,Mobile Web,1,793.6,793.6,,,
2016-W45,Malaysia,Desktop,652,217794.6287,353.3017399041054,,,
2016-W45,Malaysia,Mobile App,114,28956.6184,316.0798377827381,,,
2016-W45,Malaysia,Mobile Web,113,28130.2267,315.6322643958333,,,
2016-W45,Maldives,Desktop,34,83418.6939,2848.135858245614,,,
2016-W45,Maldives,Mobile App,3,7160.2236,2386.7412,,,
2016-W45,Maldives,Mobile Web,6,11829.1024,1727.1684800000003,,,
2016-W45,Malta,Desktop,67,24509.8851,411.0044329166666,,,
2016-W45,Malta,Mobile App,8,2382.5144999999998,330.79581428571424,,,
2016-W45,Malta,Mobile Web,16,9064.3169,529.18415625,,,
2016-W45,Martinique,Desktop,3,1848.8971,616.2990333333333,,,
2016-W45,Mauritius,Desktop,9,12128.0291,1361.639175,,,
2016-W45,Mauritius,Mobile App,2,2811.1056000000003,1405.5528000000002,,,
2016-W45,Mauritius,Mobile Web,7,8235.413,1078.53365,,,
2016-W45,Mexico,Desktop,2085,1255399.8406,825.0579518556567,,,
2016-W45,Mexico,Mobile App,333,130130.3965,653.3054412784467,,,
2016-W45,Mexico,Mobile Web,347,179977.5731,650.0714188430904,,,
2016-W45,Moldova,Desktop,3,617.5749999999999,205.85833333333332,,,
2016-W45,Moldova,Mobile App,1,2196.6372,2196.6372,,,
2016-W45,Monaco,Desktop,20,27760.5002,1876.8449634615386,,,
2016-W45,Monaco,Mobile App,3,4326.2301,1142.440025,,,
2016-W45,Monaco,Mobile Web,4,2232.6399,558.159975,,,
2016-W45,Mongolia,Desktop,3,1528.9324000000001,509.6441333333334,,,
2016-W45,Mongolia,Mobile App,1,116.0003,116.0003,,,
2016-W45,Montenegro,Desktop,3,2626.4026000000003,875.4675333333334,,,
2016-W45,Montenegro,Mobile Web,3,1462.5641,419.91425,,,
2016-W45,Morocco,Desktop,160,60275.3568,311.666609044252,,,
2016-W45,Morocco,Mobile App,16,5862.4101,411.35199090909094,,,
2016-W45,Morocco,Mobile Web,33,14238.931199999999,410.50140916666663,,,
2016-W45,Mozambique,Desktop,17,13166.1936,767.4505777777778,,,
2016-W45,Mozambique,Mobile App,2,165.1306,82.5653,,,
2016-W45,Mozambique,Mobile Web,2,2437.5,1218.75,,,
2016-W45,Myanmar,Desktop,66,23444.9108,471.02061076086954,,,
2016-W45,Myanmar,Mobile App,9,1312.1598000000001,137.69715,,,
2016-W45,Myanmar,Mobile Web,12,2622.6915,230.13364499999997,,,
2016-W45,Namibia,Desktop,8,2732.6825,374.2117857142857,,,
2016-W45,Namibia,Mobile App,1,332.562,332.562,,,
2016-W45,Namibia,Mobile Web,3,551.5295,188.60075,,,
2016-W45,Nepal,Desktop,28,7719.224099999999,340.52265196078434,,,
2016-W45,Nepal,Mobile App,6,697.0188,116.16980000000001,,,
2016-W45,Nepal,Mobile Web,3,622.1492,207.38306666666665,,,
2016-W45,Netherlands,Desktop,1409,543559.1888,418.0713165001806,,,
2016-W45,Netherlands,Mobile App,139,74689.8932,686.4022007699962,,,
2016-W45,Netherlands,Mobile Web,224,85410.0949,345.8167015765536,,,
2016-W45,New Caledonia,Desktop,9,3612.0636,363.3739,,,
2016-W45,New Caledonia,Mobile Web,1,675.5524,675.5524,,,
2016-W45,New Zealand,Desktop,960,292175.0067,364.0033122343476,,,
2016-W45,New Zealand,Mobile App,126,27189.8533,254.24936710701485,,,
2016-W45,New Zealand,Mobile Web,134,40553.3242,348.30107690656564,,,
2016-W45,Nicaragua,Desktop,43,11595.505700000002,400.0102507936508,,,
2016-W45,Nicaragua,Mobile App,6,1354.97,207.7025,,,
2016-W45,Nicaragua,Mobile Web,9,1822.1299999999999,159.91916666666665,,,
2016-W45,Niger,Desktop,1,833.44,833.44,,,
2016-W45,Nigeria,Desktop,31,25032.4169,750.398064069264,,,
2016-W45,Nigeria,Mobile Web,2,2994.0299999999997,1497.0149999999999,,,
2016-W45,Northern Mariana Islands,Desktop,19,9282.518900000001,405.64597404761906,,,
2016-W45,Northern Mariana Islands,Mobile App,5,3773.7642,701.6135625000001,,,
2016-W45,Northern Mariana Islands,Mobile Web,3,790.721,265.9905,,,
2016-W45,Norway,Desktop,3006,835143.9885999999,399.35618297805695,,,
2016-W45,Norway,Mobile App,319,67934.95779999999,300.09695901111587,,,
2016-W45,Norway,Mobile Web,556,124868.60440000001,393.01860207437056,,,
2016-W45,Oman,Desktop,44,53109.3846,1172.302873425926,,,
2016-W45,Oman,Mobile App,4,1717.4383,429.359575,,,
2016-W45,Oman,Mobile Web,2,2820.9928,1410.4964,,,
2016-W45,Pakistan,Desktop,4,3720.25,930.0625,,,
2016-W45,Palau,Desktop,15,5503.6669999999995,368.39700833333336,,,
2016-W45,Panama,Desktop,215,80892.7697,338.96009107311687,,,
2016-W45,Panama,Mobile App,30,8450.86,283.60830532212884,,,
2016-W45,Panama,Mobile Web,36,13243.1291,379.13252478632484,,,
2016-W45,Papua New Guinea,Desktop,1,126.5225,126.5225,,,
2016-W45,Papua New Guinea,Mobile App,1,301.7974,301.7974,,,
2016-W45,Paraguay,Desktop,25,11191.1813,438.9871616666666,,,
2016-W45,Paraguay,Mobile App,2,188.0994,94.0497,,,
2016-W45,Paraguay,Mobile Web,2,130.15,65.075,,,
2016-W45,Peru,Desktop,375,112581.22200000001,402.7497772442887,,,
2016-W45,Peru,Mobile App,31,4169.6564,108.10751309523809,,,
2016-W45,Peru,Mobile Web,45,12866.599900000001,397.2640354761905,,,
2016-W45,Philippines,Desktop,947,268237.4181,296.5676567828167,,,
2016-W45,Philippines,Mobile App,197,40044.214,227.46917810228774,,,
2016-W45,Philippines,Mobile Web,143,32681.576,302.22927304453265,,,
2016-W45,Poland,Desktop,569,166034.7305,260.80371823329864,,,
2016-W45,Poland,Mobile App,55,17019.0394,314.71297135964915,,,
2016-W45,Poland,Mobile Web,100,24480.8537,208.16816707539684,,,
2016-W45,Portugal,Desktop,473,184650.8579,357.6159102447643,,,
2016-W45,Portugal,Mobile App,58,14944.7619,318.6197656666667,,,
2016-W45,Portugal,Mobile Web,98,36721.937900000004,403.9124511134454,,,
2016-W45,Puerto Rico,Desktop,630,270437.83849999995,460.7559375797592,,,
2016-W45,Puerto Rico,Mobile App,57,14511.219599999999,417.40971450216443,,,
2016-W45,Puerto Rico,Mobile Web,158,53458.4091,513.0642750286751,,,
2016-W45,Qatar,Desktop,63,44199.3978,584.8863198412698,,,
2016-W45,Qatar,Mobile App,11,4909.8339,467.9000642857142,,,
2016-W45,Qatar,Mobile Web,10,6342.2919,586.2316857142857,,,
2016-W45,Reunion,Desktop,2,675.4865,337.74325,,,
2016-W45,Reunion,Mobile App,1,273.0312,273.0312,,,
2016-W45,Reunion,Mobile Web,3,335.12919999999997,111.70973333333332,,,
2016-W45,Romania,Desktop,87,24721.706599999998,288.51115639329805,,,
2016-W45,Romania,Mobile App,11,2103.7939,214.95656,,,
2016-W45,Romania,Mobile Web,8,1761.744,176.63535000000002,,,
2016-W45,Russia,Desktop,155,82226.7657,562.4666197321428,,,
2016-W45,Russia,Mobile App,25,8191.0062,436.0518449404762,,,
2016-W45,Russia,Mobile Web,17,6030.1301,363.34498974358974,,,
2016-W45,Rwanda,Desktop,1,97.9,97.9,,,
2016-W45,Rwanda,Mobile App,2,720.3436,360.1718,,,
2016-W45,Rwanda,Mobile Web,2,552.5113,276.25565,,,
2016-W45,Samoa,Desktop,2,824.2289999999999,412.11449999999996,,,
2016-W45,Samoa,Mobile Web,1,574.131,574.131,,,
2016-W45,San Marino,Desktop,2,336.4054,168.2027,,,
2016-W45,Saudi Arabia,Desktop,71,61507.8736,856.3548391036414,,,
2016-W45,Saudi Arabia,Mobile App,15,7529.4254,479.00077666666664,,,
2016-W45,Saudi Arabia,Mobile Web,21,13642.9633,773.405634848485,,,
2016-W45,Senegal,Desktop,2,1110.0517,555.02585,,,
2016-W45,Senegal,Mobile Web,2,329.87,164.935,,,
2016-W45,Serbia,Desktop,22,6439.8496000000005,366.64449523809526,,,
2016-W45,Serbia,Mobile App,3,810.4305999999999,270.1435333333333,,,
2016-W45,Serbia,Mobile Web,2,519.6124,259.8062,,,
2016-W45,Seychelles,Desktop,11,18178.9938,2114.0810952380953,,,
2016-W45,Seychelles,Mobile Web,1,560.4678,560.4678,,,
2016-W45,Sierra Leone,Desktop,1,1225.2,1225.2,,,
2016-W45,Singapore,Desktop,888,565895.8734,724.1726712395524,,,
2016-W45,Singapore,Mobile App,149,45762.5967,382.81133317430255,,,
2016-W45,Singapore,Mobile Web,105,40055.5313,380.28355562656645,,,
2016-W45,Sint Maarten,Desktop,50,85713.7301,1206.7344910533911,,,
2016-W45,Sint Maarten,Mobile App,7,4564.6341999999995,700.6161833333334,,,
2016-W45,Sint Maarten,Mobile Web,10,7513.051,742.7695000000001,,,
2016-W45,Slovakia,Desktop,57,13102.6885,233.16040753968255,,,
2016-W45,Slovakia,Mobile App,1,136.54,136.54,,,
2016-W45,Slovakia,Mobile Web,6,1306.7115000000001,223.04521,,,
2016-W45,Slovenia,Desktop,17,4448.9909,296.26632727272727,,,
2016-W45,Slovenia,Mobile App,2,119.36449999999999,59.682249999999996,,,
2016-W45,Slovenia,Mobile Web,6,1935.8225,322.63708333333335,,,
2016-W45,South Africa,Desktop,355,161821.3875,456.9320523193824,,,
2016-W45,South Africa,Mobile App,29,7943.418000000001,282.4698875,,,
2016-W45,South Africa,Mobile Web,59,22785.0236,427.301509717813,,,
2016-W45,South Korea,Desktop,2651,726377.389,433.1352026197678,,,
2016-W45,South Korea,Mobile App,910,169281.3295,400.4618999371935,,,
2016-W45,South Korea,Mobile Web,547,116996.098,366.18587438978307,,,
2016-W45,Spain & Canary Islands,Desktop,2221,908354.8325,405.15979675954566,,,
2016-W45,Spain & Canary Islands,Mobile App,294,81281.459,375.23942184915825,,,
2016-W45,Spain & Canary Islands,Mobile Web,381,140941.9588,429.05937815459833,,,
2016-W45,Sri Lanka,Desktop,51,34053.0815,807.2236544444445,,,
2016-W45,Sri Lanka,Mobile App,5,920.8699,189.161225,,,
2016-W45,Sri Lanka,Mobile Web,7,3246.8422,488.99838,,,
2016-W45,St. Barthelemy,Desktop,1,5263.25,5263.25,,,
2016-W45,St. Kitts and Nevis,Desktop,18,11922.130000000001,1060.5638095238096,,,
2016-W45,St. Kitts and Nevis,Mobile Web,2,2599.2000000000003,1299.6000000000001,,,
2016-W45,St. Lucia,Desktop,40,51088.6457,1189.675883838384,,,
2016-W45,St. Lucia,Mobile Web,16,18474.0717,1152.5017818181818,,,
2016-W45,St. Martin,Desktop,14,28119.39,1827.735493877551,,,
2016-W45,St. Martin,Mobile App,2,1384.5052,692.2526,,,
